"",ML6,ML1,ML7,ML3,ML2,ML4,ML5,ML8
Depression_and_Mood_disorders,-0.057,1.017,-0.061,0.02,0.052,0.055,-0.035,-0.044
Adictions,0.518,0.315,0.297,-0.069,-0.299,-0.17,0.144,0.331
Anxiety_disorders,0.156,0.231,0.051,0.193,0.266,0.105,-0.174,0.394
Asthma,-0.011,0.204,-0.033,0.315,0.079,-0.127,0.274,0.037
Miscellaneous_mental_health_disorders,0.016,0.202,0.019,0.31,0.039,-0.012,-0.035,0.111
Thyroid_disorders,-0.029,0.174,0.219,0.067,0.147,-0.004,0.015,-0.1
Hypertension,0.16,0.136,0.328,-0.022,0.051,-0.017,-0.016,-0.638
Menstrual_disorders,0.148,0.074,0.098,0.103,0.171,0.145,-0.086,0.33
Headache__including_migraine,0.085,0.069,0.211,-0.036,0.294,0.068,-0.138,0.158
Disorders_of_lipid_metabolism,0.055,0.06,0.053,-0.014,0.963,-0.07,0.1,0.014
Vision_defects,0.048,0.048,0.029,-0.007,-0.063,0.988,0.052,0.016
Allergic_rhinitis,-0.266,-0.001,0.198,0.035,0.169,0.179,0.026,0.418
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.019,-0.003,0.033,0.996,-0.038,-0.007,0.008,-0.005
Atopic_dermatitis,-0.034,-0.038,-0.026,0.007,0.071,0.058,0.97,-0.016
Hepatitis,1.028,-0.057,-0.076,0.038,0.071,0.054,-0.059,-0.062
Obesity,-0.072,-0.066,0.978,0.082,0.053,0.036,-0.024,-0.051
